"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%"
"90";"0,193611";"44,525";"44°31'30.000N 0°11'37.000E";"47157";"La Magdeleine - Impasse de la Garenne";"SUR LA VOIE PUBLIQUEDEVANT L'ENTREE DE LA PROPRIETE DE MR OU MME TESSIER";"47200";"MARMANDE";"04/05/2001";"En extérieur";"FicheMesure90.pdf";"Oui";"3,23";"Rue / Route / Parking";"SR Toulouse";"";"3,14";"0,06";"";"0,7";"";"";"";"";"";"";"";"";"";"0,09";"";"";"";"";"";"";"";"";"3,217639";"";"0,383"
"93";"-0,507222";"44,820556";"44°49'14.002N 0°30'25.999W";"33065";"Gendarmerie Nationale- Quartier Beteille";"BATIMENT 6 - 3EME ETAGE - APPARTEMENT 80DOMICILE DE MR ET MME DOUABLINSUR LE BALCON FACE AU PYLONE TDF";"33270";"BOULIAC";"03/05/2001";"En intérieur";"FicheMesure93.pdf";"Oui";"3,03";"Lieu d'habitation";"SR Toulouse";"";"1,71";"0,06";"0,33";"";"";"";"0,29";"";"";"";"";"";"";"0,16";"";"0,16";"";"";"";"";"";"";"1,76655";"";"41,698"
"99";"0,635556";"44,216667";"44°13'0.001N 0°38'8.002E";"47001";"Centre hospitalier route de Villeneuve";"TERRASSE DU BATIMENT PRINCIPAL DU CENTRE HOSPITALIERCOTE SUD-EST A 8 METRES DU PIED DU PYLONE";"47923";"AGEN";"31/07/2001";"En extérieur";"FicheMesure99.pdf";"Oui";"0,57";"Divers";"SR Toulouse";"";"0,24";"";"";"0,2";"";"";"";"";"";"";"";"";"";"0,5";"";"";"";"";"";"";"";"";"0,31241";"";"45,191"
"100";"-0,490556";"44,823056";"44°49'23.002N 0°29'26.002W";"33065";"Allée des pelouses d'ascot";"DOMICILE DE MR YANNICK VIARDDANS LE JARDIN EN BORDURE DE CLOTURE";"33270";"BOULIAC";"03/05/2001";"En extérieur";"FicheMesure100.pdf";"Oui";"0,59";"Rue / Route / Parking";"SR Toulouse";"";"0,22";"0,6";"";"";"";"";"0,17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,661287";"";"-12,082"
"101";"-0,503333";"44,818889";"44°49'8.000N 0°30'11.999W";"33065";"Carrefour de l'avenue du domaine de la Vialle";"PARKING DU GROUPE SCOLAIRE DE BOULIACA 60 METRES DE L'ENTREE DE L'ECOLE";"33270";"BOULIAC";"03/05/2001";"En extérieur";"FicheMesure101.pdf";"Oui";"2,32";"Rue / Route / Parking";"SR Toulouse";"";"0,99";"0,49";"0,06";"";"";"";"1,46";"";"";"";"";"";"";"0,39";"";"0,1";"";"";"";"";"";"";"1,831775";"";"21,044"
"103";"-0,789444";"44,0025";"44°0'9.000N 0°47'21.998W";"40006";"Rue Jean Duclos";"A 2 METRES DE L'ANGLE DU GYMNASECÔTE FRONTON ET COURT DE TENNIS";"40110";"ARENGOSSE";"10/05/2001";"En extérieur";"FicheMesure103.pdf";"Oui";"0";"Rue / Route / Parking";"SR Toulouse";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,09";"";"";"";"";"";"";"";"";"";"";""
"104";"-0,625556";"44,904722";"44°54'16.999N 0°37'32.002W";"33056";"Rue du Maréchal de Lattre de Tasigny";"SUR LA TERRASSE DE L'IMMEUBLE A PROXIMITE IMMEDIATE DES ANTENNES DES STATIONS DE BASE SFR ET BYTAU DOMICILE DE MR ANDRE JOIGNEAUX - 9EME ETAGE - APPT 917 - BATIMENT E";"33290";"BLANQUEFORT";"01/08/2001";"En intérieur";"FicheMesure104.pdf";"Oui";"4,14";"Lieu d'habitation";"SR Toulouse";"";"0,24";"0,07";"";"";"";"";"";"";"";"";"";"";"";"3,08";"";"1,57";"";"";"";"";"";"";"0,25";"";"93,961"
"105";"-0,573889";"44,843611";"44°50'37.000N 0°34'26.000W";"33063";"Rue de Condé";"BURO CLUB BORDEAUX6EME ETAGEA COTE DE LA FENETRE DU BUREAU N° 68 - ESSO - MR JEAN-MICHEL FAUCHER";"33000";"BORDEAUX";"02/05/2001";"En intérieur";"FicheMesure105.pdf";"Oui";"0,92";"Lieu d'habitation";"SR Toulouse";"";"";"";"";"";"";"";"0,09";"";"";"";"";"";"";"1,86";"";"";"";"";"";"";"";"";"0,09";"";"90,217"
"106";"-0,886667";"44,966944";"44°58'0.998N 0°53'12.001W";"33417";"Stade municipal";"SUR LE PARKINGA COTE DES COURTS DE TENNISDEVANT LES VESTIAIRES DU STADE";"33480";"SAINTE HELENE";"09/05/2001";"En extérieur";"FicheMesure106.pdf";"Oui";"0";"Rue / Route / Parking";"SR Toulouse";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,13";"";"";"";"";"";"";"";"";""
"197";"-0,547778";"44,808611";"44°48'31.000N 0°32'52.001W";"33039";"Rue Duhourquet";"Terrasse de l'immeuble";"33130";"BEGLES";"22/01/2002";"En extérieur";"FicheMesure197.pdf";"Oui";"1,75";"Divers";"APAVE";"";"0,43";"";"";"";"";"";"0,58";"";"";"";"";"";"";"1,35";"";"2,65";"";"";"";"";"";"";"0,722011";"";"58,742"
"198";"-0,547778";"44,805556";"44°48'20.002N 0°32'52.001W";"33039";"Allée des droits de l'enfant";"Halte Garderie";"33130";"BEGLES";"22/01/2002";"En extérieur";"FicheMesure198.pdf";"Oui";"0,2";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"0,13";"";"";"";"";"";"";"0,09";"";"1,33";"";"";"";"";"";"";"0,13";"";"35"
"199";"-0,623611";"44,777778";"44°46'40.001N 0°37'25.000W";"33192";"Stade de Moulerens";"Complexe sportif";"33170";"GRADIGNAN";"23/01/2002";"En extérieur";"FicheMesure199.pdf";"Oui";"0";"Divers";"APAVE";"";"";"";"";"";"";"";"0,19";"";"";"";"";"";"";"0,15";"";"0,38";"";"";"";"";"";"";"0,19";"";""
"200";"-0,623333";"44,777222";"44°46'37.999N 0°37'23.999W";"33192";"Stade de Moulerens";"Complexe sportif";"33170";"GRADIGNAN";"23/01/2002";"En extérieur";"FicheMesure200.pdf";"Oui";"0";"Divers";"APAVE";"";"";"";"";"";"";"";"0,1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,1";"";""
"201";"-0,623611";"44,777778";"44°46'40.001N 0°37'25.000W";"33192";"Stade de Moulerens";"Complexe sportif";"33170";"GRADIGNAN";"23/01/2002";"En extérieur";"FicheMesure201.pdf";"Oui";"0";"Divers";"APAVE";"";"";"";"";"";"";"";"0,29";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,29";"";""
"281";"2,131389";"43,9175";"43°55'3.000N 2°7'53.000E";"81004";"Avenue du Maréchal Juin";"Point A : Chambre, appartement 2606 de Mme BONNAFOUS 6e étage à 87 cm du mur orienté ouest et à 1m06 du mur orienté nord.";"81000";"ALBI";"26/09/2001";"En intérieur";"FicheMesure281.pdf";"Oui";"0";"Lieu d'habitation";"BUREAU VERITAS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,17";"";"";"";"";"";"";"";"";""
"282";"2,131389";"43,9175";"43°55'3.000N 2°7'53.000E";"81004";"Avenue du Maréchal Juin";"Point B : Comble 8ème étage escalier Est";"81000";"ALBI";"26/09/2001";"En intérieur";"FicheMesure282.pdf";"Oui";"0";"Lieu d'habitation";"BUREAU VERITAS";"";"0,07";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,45";"";"";"";"";"";"";"0,07";"";""
"332";"-0,565";"44,822222";"44°49'19.999N 0°33'54.000W";"33063";"Rue du Buchou";"Point A : appartement 58 5e étage";"33000";"BORDEAUX";"11/12/2001";"En intérieur";"FicheMesure332.pdf";"Oui";"0,6";"Lieu d'habitation";"BUREAU VERITAS";"";"0,06";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,06";"";"90"
"396";"-0,647778";"44,8325";"44°49'57.000N 0°38'52.001W";"33281";"Rue de Belfort";"Mesures réalisées dans l'appartement 21, bâtiment A1 (salle à manger)";"33700";"MERIGNAC";"12/03/2002";"En intérieur";"FicheMesure396.pdf";"Oui";"0";"Lieu d'habitation";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,23";"";"";"";"";"";"";"";"";"";"";""
"397";"-0,646944";"44,831111";"44°49'52.000N 0°38'48.998W";"33281";"Rue de Belfort";"Mesures réalisées dans l'appartement 254, bâtiment E4 (cuisine)";"33700";"MERIGNAC";"12/03/2002";"En intérieur";"FicheMesure397.pdf";"Oui";"0";"Lieu d'habitation";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"398";"-0,646944";"44,831667";"44°49'54.001N 0°38'48.998W";"33281";"Rue de Belfort";"Mesures réalisées sur l'aire de jeux de la résidence";"33700";"MERIGNAC";"12/03/2002";"En extérieur";"FicheMesure398.pdf";"Oui";"0";"Divers";"APAVE";"";"";"";"";"";"";"";"0,15";"";"";"";"";"";"";"0,09";"";"";"";"";"";"";"";"";"0,15";"";""
"399";"-0,648333";"44,831111";"44°49'52.000N 0°38'53.999W";"33281";"Rue de Belfort";"Mesures réalisées dans l'appartement 320 au 15ème étage du bâtiment F(dans le séjour sous les antennes)";"33700";"MERIGNAC";"12/03/2002";"En intérieur";"FicheMesure399.pdf";"Oui";"0";"Lieu d'habitation";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,29";"";"";"";"";"";"";"";"";""
"422";"1,441389";"44,448333";"44°26'53.999N 1°26'29.000E";"46042";"Rue des Augustins";"Les mesures ont été effectuées dans le bureau de Mr MUIRON, au 8°étage dans l'appartement n°33.La mesure est effectuée au milieu de la pièce.";"46000";"CAHORS";"20/09/2001";"En intérieur";"FicheMesure422.pdf";"Oui";"0,3";"Lieu d'habitation";"BUREAU VERITAS";"";"0,08";"";"";"";"";"";"";"";"";"";"";"";"";"0,08";"";"0,22";"";"";"";"";"";"";"0,08";"";"73,333"
"439";"-0,622222";"44,816944";"44°49'0.998N 0°37'19.999W";"33318";"Rue de l'Avenir";"Parking de la résidence de l'AVENIR";"33600";"PESSAC";"29/04/2002";"En extérieur";"FicheMesure439.pdf";"Oui";"0,64";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,47";"";"0,6";"";"";"";"";"";"";"";"";""
"440";"-0,622222";"44,816944";"44°49'0.998N 0°37'19.999W";"33318";"Rue de l'Avenir";"Appartement 402 de M. TREVISE, situé au 4eme et dernier étage du bâtiment.";"33600";"PESSAC";"29/04/2002";"En intérieur";"FicheMesure440.pdf";"Oui";"0,2";"Lieu d'habitation";"APAVE";"";"";"";"";"";"";"";"0,07";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,07";"";"65"
"441";"-0,622222";"44,816944";"44°49'0.998N 0°37'19.999W";"33318";"Rue de l'Avenir";"Appartement N° 407 de Mme SAINT-BONNET situé au 4eme et dernier étage";"33600";"PESSAC";"29/04/2002";"En intérieur";"FicheMesure441.pdf";"Oui";"0,56";"Lieu d'habitation";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,86";"";"";"";"";"";"";"";"";"";"";""
"506";"-0,241111";"44,911667";"44°54'42.001N 0°14'28.000W";"33243";"Cours Tourny";"Les mesures ont été réalisées dans le cours Tourny face aux antennes sur le trottoir opposé en face du foyer François Constant";"33500";"LIBOURNE";"11/03/2002";"En extérieur";"FicheMesure506.pdf";"Oui";"0";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,47";"";"";"";"";"";"";"";"";""
"507";"-0,24";"44,910833";"44°54'38.999N 0°14'24.000W";"33243";"Avenue de Verdun";"Les mesures ont été réalisées avenue de Verdun face aux antennes sur le trottoir opposé en face du numéro 15";"33500";"LIBOURNE";"11/03/2002";"En extérieur";"FicheMesure507.pdf";"Oui";"0";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,56";"";"";"";"";"";"";"";"";""
"621";"-0,578333";"44,838611";"44°50'19.000N 0°34'41.999W";"33063";"Rue Mouneyra";"résidence de Monsieur Oberhausen";"33000";"BORDEAUX";"27/06/2002";"En intérieur";"FicheMesure621.pdf";"Oui";"0,42";"Lieu d'habitation";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"744";"-0,430556";"43,764444";"43°45'51.998N 0°25'50.002W";"40145";"Chemin de Caillibet";"Pylône SFR.";"40270";"LARRIVIERE SAINT SAVIN";"17/09/2002";"En extérieur";"FicheMesure744.pdf";"Oui";"0,26";"Divers";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,08";"";"";"";"";"";"";"";"";"";"";""
"745";"-0,430556";"43,764444";"43°45'51.998N 0°25'50.002W";"40145";"Chemin de Caillibet";"Pylône SFR.";"40270";"LARRIVIERE SAINT SAVIN";"17/09/2002";"En extérieur";"FicheMesure745.pdf";"Oui";"0,86";"Divers";"APAVE";"";"0,08";"";"";"";"";"";"";"";"";"";"";"";"";"0,36";"";"";"";"";"";"";"";"";"0,08";"";"90,698"
"746";"-0,430556";"43,764444";"43°45'51.998N 0°25'50.002W";"40145";"Chemin de Caillibet";"Pylône SFR.";"40270";"LARRIVIERE SAINT SAVIN";"17/09/2002";"En extérieur";"FicheMesure746.pdf";"Oui";"2,86";"Divers";"APAVE";"";"0,11";"";"";"";"";"";"";"";"";"";"";"";"";"0,99";"";"";"";"";"";"";"";"";"0,11";"";"96,154"
"747";"-0,430556";"43,764444";"43°45'51.998N 0°25'50.002W";"40145";"Chemin de Caillibet";"Pylône SFR.";"40270";"LARRIVIERE SAINT SAVIN";"17/09/2002";"En extérieur";"FicheMesure747.pdf";"Oui";"3,77";"Divers";"APAVE";"";"0,11";"";"";"";"";"";"";"";"";"";"";"";"";"2,05";"";"";"";"";"";"";"";"";"0,11";"";"97,082"
"804";"1,516667";"44,073056";"44°4'23.002N 1°31'0.001E";"82134";"Place des Graves";"sur la terasse du 10, place las graves . dans un lotissement . prés du château d'eau sur lequel est installé un pylône BYT";"82800";"NEGREPELISSE";"10/10/2002";"En extérieur";"FicheMesure804.pdf";"Oui";"0,38";"Divers";"CSTB - Saint Martin d'Heres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,42";"";"";"";"";"";"";"";"";""
"805";"1,516111";"44,073056";"44°4'23.002N 1°30'58.000E";"82134";"Rue des Loriots";"en terasse du 9, rue des Loriots . dans un lotissement autour du château d'eau sur lequel est installé un pylône BYT";"82800";"NEGREPELISSE";"10/10/2002";"En extérieur";"FicheMesure805.pdf";"Oui";"0";"Divers";"CSTB - Saint Martin d'Heres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,25";"";"";"";"";"";"";"";"";""
"813";"0,780556";"44,846389";"44°50'47.000N 0°46'50.002E";"33273";"Avenue de Verdun";"Ecole primaire Jean de la Fontainedans le couloir de l'école primaire collée à l'école maternelle J. CASTAGNET";"33127";"MARTIGNAS SUR JALLE";"30/10/2002";"En intérieur";"FicheMesure813.pdf";"Oui";"0";"Lieu d'habitation";"CSTB - Saint Martin d'Heres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"995";"2,119722";"43,922222";"43°55'19.999N 2°7'10.999E";"81004";"Rue Louis Jouvet";"Palier du 8ème et dernier étage de l'immeuble F1";"81000";"ALBI";"10/09/2002";"En intérieur";"FicheMesure995.pdf";"Oui";"0,46";"Lieu d'habitation";"APAVE";"";"0,12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,35";"";"";"";"";"";"";"0,12";"";"73,913"
"1177";"-0,586389";"44,836667";"44°50'12.001N 0°35'11.000W";"33063";"Terrasse du 8 mai 1945 - Résidence Le Ponant";"8éme étage entrée BDans la salle de séjour de M. et Mme Fakreldine à 8 mètres environ des antennes GSM (900 et 1800 Mhz) de Orange.";"33000";"BORDEAUX";"20/03/2003";"En intérieur";"FicheMesure1177.pdf";"Oui";"0,48";"Lieu d'habitation";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,4";"";"";"";"";"";"";"";"";"";"";""
"1199";"0,012778";"45,149722";"45°8'58.999N 0°0'46.001E";"24354";"Avenue de la Double - Ecole maternelle";"Rez de Chaussée";"24490";"ROCHE CHALAIS";"06/02/2003";"En intérieur";"FicheMesure1199.pdf";"Oui";"0,02";"Lieu d'habitation";"APAVE";"";"";"0,11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,11";"";"-450"
"1200";"0,012778";"45,149722";"45°8'58.999N 0°0'46.001E";"24354";"Avenue de la Double - Ecole maternelle";"";"24490";"ROCHE CHALAIS";"06/02/2003";"En extérieur";"FicheMesure1200.pdf";"Oui";"0,09";"Rue / Route / Parking";"APAVE";"";"";"0,11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,11";"";"-22,222"
"1201";"0,011111";"45,150833";"45°9'2.999N 0°0'40.000E";"24354";"Avenue de la Double - Stade municipal";"";"24490";"ROCHE CHALAIS";"06/02/2003";"En extérieur";"FicheMesure1201.pdf";"Oui";"0,22";"Divers";"APAVE";"";"";"0,12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,12";"";"45,455"
"1220";"-0,661944";"44,8025";"44°48'9.000N 0°39'42.998W";"33318";"Avenue Bourgailh";"Maison de retraite";"33600";"PESSAC";"12/12/2002";"En extérieur";"FicheMesure1220.pdf";"Oui";"0,52";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,28";"";"";"";"";"";"";"";"";""
"1221";"-0,668333";"44,803333";"44°48'11.999N 0°40'5.999W";"33318";"Avenue Pierre de Coubertin";"école maternelle Roland Dorgeles";"33600";"PESSAC";"12/12/2002";"En extérieur";"FicheMesure1221.pdf";"Oui";"0,18";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,11";"";"";"";"";"";"";"";"";""
"1222";"-0,63";"44,8125";"44°48'45.000N 0°37'48.000W";"33318";"Avenue du Colonel Robert Jacqui";"En face du pylône entre le stade principal et le stade secondaire, à proximité du Château de Bellegrave, à 100 mètres de l’émetteur 1800 Mhz Bouygues Télécom.";"33600";"PESSAC";"11/12/2002";"En extérieur";"FicheMesure1222.pdf";"Oui";"0,68";"Divers";"APAVE";"";"";"";"";"";"";"";"0,34";"";"";"";"";"";"";"0,31";"";"";"";"";"";"";"";"";"0,34";"";"50"
"1223";"-0,63";"44,8125";"44°48'45.000N 0°37'48.000W";"33318";"Avenue du Colonel Robert Jacqui";"A l'emplacement du projet de crèche, à proximité du Château de Bellegrave, à 80 mètres de l’émetteur 1800 Mhz Bouygues Télécom.";"33600";"PESSAC";"11/12/2002";"En extérieur";"FicheMesure1223.pdf";"Oui";"0,33";"Divers";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,11";"";"";"";"";"";"";"";"";""
"1224";"-0,63";"44,8125";"44°48'45.000N 0°37'48.000W";"33318";"Avenue du Colonel Robert Jacqui";"Sur le parking de la résidence Neptune, en face du Château de Bellegrave, à 105 mètres de l’émetteur 1800 Mhz Bouygues Télécom..";"33600";"PESSAC";"11/12/2002";"En extérieur";"FicheMesure1224.pdf";"Oui";"0,31";"Divers";"APAVE";"";"";"";"";"";"";"";"0,12";"";"";"";"";"";"";"";"";"0,11";"";"";"";"";"";"";"0,12";"";"61,29"
"1239";"1,4075";"45,265";"45°15'54.000N 1°24'27.000E";"19153";"Avenue Georges Clémenceau";"Dans la cour de l'Ecole Maternelle d'Objat.";"19130";"OBJAT";"26/03/2003";"En extérieur";"FicheMesure1239.pdf";"Oui";"0,34";"Rue / Route / Parking";"CSTB - Saint Martin d'Heres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,21";"";"";"";"";"";"";"";"";"";"";""
"1240";"1,4075";"45,264722";"45°15'52.999N 1°24'27.000E";"19153";"Avenue Georges Clémenceau";"Devant la porte ouverte de la salle de jeu donnant sur le pylône d'antennes BYT.";"19130";"OBJAT";"26/03/2003";"En extérieur";"FicheMesure1240.pdf";"Oui";"0";"Divers";"CSTB - Saint Martin d'Heres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,11";"";"";"";"";"";"";"";"";"";"";""
"1241";"1,407778";"45,264444";"45°15'51.998N 1°24'28.001E";"19153";"Avenue Georges Clémenceau";"Devant la porte d'accès du groupe scolaire Siriez.";"19130";"OBJAT";"26/03/2003";"En extérieur";"FicheMesure1241.pdf";"Oui";"0,35";"Rue / Route / Parking";"CSTB - Saint Martin d'Heres";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,21";"";"";"";"";"";"";"";"";"";"";""
"1318";"-0,494167";"44,425556";"44°25'32.002N 0°29'39.001W";"33484";"Rue du Stade municipal";"Les mesures ont été réalisées en haut du château d'eau dans la salle de vigie des pompiers.Point A : au niveau du bureau du poste de surveillance.";"33113";"SAINT SYMPHORIEN";"25/04/2003";"En intérieur";"FicheMesure1318.pdf";"Oui";"1,3";"Lieu d'habitation";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,31";"";"";"";"";"";"";"";"";"";"";""
"1319";"-0,494167";"44,425556";"44°25'32.002N 0°29'39.001W";"33484";"Rue du Stade municipal";"Les mesures ont été réalisées en haut du château d'eau dans la salle de vigie des pompiers.Point B : à 80 cm du bord de l'antenne située côté Est (fenêtre ouverte, sur l'armoire basse de rangement).";"33113";"SAINT SYMPHORIEN";"25/04/2003";"En intérieur";"FicheMesure1319.pdf";"Oui";"1,3";"Lieu d'habitation";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,91";"";"";"";"";"";"";"";"";"";"";""
"1359";"-0,457778";"44,923333";"44°55'23.999N 0°27'28.001W";"33433";"Chemin des Vergnes";"palier de travail FH situé à 30 mètres du sol sur le pylône.";"33450";"SAINT LOUBES";"08/04/2003";"En extérieur";"FicheMesure1359.pdf";"Oui";"1,59";"Divers";"APAVE";"";"0,8";"";"";"0,06";"";"";"0,36";"";"";"";"";"";"";"1,02";"";"0,79";"";"";"";"";"";"";"0,879318";"";"44,697"
"1360";"-0,457222";"44,923056";"44°55'23.002N 0°27'25.999W";"33433";"Chemin des Vergnes";"sur le bord du chemin à proximité d'une maison d'habitation.";"33450";"SAINT LOUBES";"08/04/2003";"En extérieur";"FicheMesure1360.pdf";"Oui";"0,7";"Divers";"APAVE";"";"0,28";"0,23";"";"";"";"";"";"";"";"";"";"";"";"0,21";"";"";"";"";"";"";"";"";"0,362353";"";"48,235"
"1361";"0,589167";"44,514167";"44°30'51.001N 0°35'21.001E";"47023";"Chemin dpt n°340 - Lieu-dit Soulodres";"pylône installé sur le dôme d'un château d'eau.";"47290";"BEAUGAS";"09/04/2003";"En extérieur";"FicheMesure1361.pdf";"Oui";"1,58";"Divers";"APAVE";"";"";"";"0,32";"";"";"";"";"";"";"";"";"";"";"1,34";"";"0,85";"";"";"";"";"";"";"0,32";"";"79,747"
"1362";"-0,260833";"44,295278";"44°17'43.001N 0°15'38.999W";"33095";"Route de Mont-de-Marsan";"pylône situé dans l'enceinte du centre de secours de Captieux.";"33840";"CAPTIEUX";"09/04/2003";"En extérieur";"FicheMesure1362.pdf";"Oui";"0,22";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,4";"";"";"";"";"";"";"";"";""
"1363";"2,117778";"43,955833";"43°57'20.999N 2°7'4.001E";"81004";"Le Clarier";"Pylône implanté sur le lieu-dit LE CLARIER";"81000";"ALBI";"10/04/2003";"En extérieur";"FicheMesure1363.pdf";"Oui";"2,21";"Divers";"APAVE";"";"2,61";"";"";"";"";"";"";"";"";"";"";"";"";"0,61";"";"0,29";"";"";"";"";"";"";"2,61";"";"-18,1"
"1371";"-0,639722";"44,816111";"44°48'58.000N 0°38'22.999W";"33281";"Rue du Général Weygand";"";"33700";"MERIGNAC";"12/12/2002";"En extérieur";"FicheMesure1371.pdf";"Oui";"0,3";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"0,28";"";"";"";"";"";"";"0,14";"";"";"";"";"";"";"";"";"0,28";"";"6,667"
"1372";"-0,563889";"44,863333";"44°51'47.999N 0°33'50.000W";"33063";"Avenue Jean Benais-Résidence Chantegrit";"Mesures réalisées au milieu du côté Nord Ouest du terrain de sports, face au centre de l'immeuble supportant les émetteurs.";"33000";"BORDEAUX";"20/12/2002";"En extérieur";"FicheMesure1372.pdf";"Oui";"0,5";"Rue / Route / Parking";"APAVE";"";"0,11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,11";"";"78"
"1374";"-0,5825";"44,856667";"44°51'24.001N 0°34'57.000W";"33063";"Rue Pierre Trebold";"Mesures réalisées entre la résidence Zola (entrée 28) et le terrain de sports (sur le trottoir central du parking).";"33000";"BORDEAUX";"20/12/2002";"En extérieur";"FicheMesure1374.pdf";"Oui";"0,3";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,17";"";"";"";"";"";"";"";"";"";"";""
"1375";"-0,663333";"44,868889";"44°52'8.000N 0°39'47.999W";"33200";"Rue Jean Mermoz";"Mesures réalisées au milieu du portail d’entrée donnant accès au château d’eau.";"33160";"HAILLAN";"20/12/2002";"En extérieur";"FicheMesure1375.pdf";"Oui";"0,13";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,29";"";"";"";"";"";"";"";"";"";"";""
"1376";"0,722222";"45,189444";"45°11'21.998N 0°43'19.999E";"24322";"Avenue Georges Pompidou-Institution St Joseph";"Les mesures ont été réalisées dans la cour de récréation de l'Institution Saint Joseph, devant la salle de classe D5.";"24000";"PERIGUEUX";"19/02/2003";"En extérieur";"FicheMesure1376.pdf";"Oui";"0,21";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,28";"";"";"";"";"";"";"";"";"";"";""
"1378";"-0,729167";"45,473611";"45°28'25.000N 0°43'45.001W";"17328";"Belle Vue-Les terriers";"Dans la tour de guet du SDIS";"17240";"SAINT FORT SUR GIRONDE";"14/02/2003";"En extérieur";"FicheMesure1378.pdf";"Oui";"0,95";"Divers";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,95";"";"";"";"";"";"";"";"";"";"";""
